MI Number,Male,Female
MI-SID-200,5,1
MI-AIS-114,0,0
MI-PRA-1145,0,0
MI-SWA-206,0,1
MI-PRI-389,5,4
MI-EER-101,0,12
MI-DAN-107,6,3
MI-SIM-125,2,2
MI-ANU-237,4,2
MI-ROH-210,2,1
MI-KOM-125,4,11
MI-AMB-101,3,2
MI-KAU-102,2,0
MI-KRI-120,4,7
MI-SWA-143,4,3
MI-VAI-217,7,6
MI-PRA-152,15,6
MI-CHA-107,22,14
MI-OMK-101,5,2
MI-HAR-115,20,11
MI-DHA-110,0,19
MI-OMK-102,13,7
MI-RAH-168,3,2
MI-FAI-101,0,2
MI-MAH-163,4,3
MI-SAN-157,4,3
MI-VIR-124,8,13
MI-ATH-102,8,11
MI-AAR-111,14,9
MI-ANK-124,15,7
MI-RAH-220,2,1
MI-ANU-304,10,9
MI-SAM-139,14,2
MI-GAU-174,12,15
MI-SIN-102,4,2
MI-SAM-247,26,24
MI-SHY-104,2,2
MI-AKA-172,4,6
MI-GAU-232,0,3
MI-ASH-364,0,0
MI-ABR-102,1,0
MI-AMI-135,1,0
MI-TAN-414,2,0
MI-SHA-508,1,0
MI-HIM-206,3,2
MI-SAM-101,1,2
MI-PRA-631,5,20
MI-GUG-101,39,29
MI-NUM-101,0,0
MI-ASH-444,2,0
MI-DHR-187,2,0
MI-BHA-268,0,0
MI-ANI-195,1,0
MI-SAM-239,20,10
MI-SRI-168,0,0
MI-KUL-103,5,1
MI-VIN-139,0,0
MI-RIT-111,13,11
MI-YOG-144,3,0
MI-KAP-101,0,0
MI-GAU-226,12,14
MI-SHR-400,11,10
MI-PAN-122,23,13
MI-ADI-358,19,13
MI-NAI-107,11,13
MI-SHR-379,14,20
MI-SAN-275,2,1
MI-KRI-235,0,1
MI-ANU-312,8,0
MI-ROH-202,10,3
MI-RAJ-237,5,3
MI-POO-198,0,0
MI-DIP-129,3,3
MI-VAI-112,7,4
MI-SOU-152,5,6
MI-DEV-198,11,5
MI-NIS-120,5,7
MI-HEM-125,0,0
MI-KIR-102,12,6
MI-YAS-204,1,0
MI-ZEE-101,1,0
MI-DHR-144,13,7
MI-RUT-106,3,0
MI-PAV-115,3,2
MI-GAU-275,24,11
MI-VIV-110,1,0
MI-JAG-103,22,22
MI-MOH-228,4,0
MI-CHA-183,4,0
