Participant,CL,Gender
MI-RAS-159,MI-ARP-148,
MI-AVI-156,MI-AMR-126,
MI-ARV-108,MI-AMR-126,
MI-ASH-191,MI-AMR-126,
MI-SHR-491,MI-RAH-281,
MI-SAI-134,MI-RAH-281,
MI-PAL-101,MI-YES-107,
MI-KAR-235,MI-YES-107,
MI-VIN-126,MI-NIS-150,
MI-AKA-147,MI-NIS-150,
MI-ASH-139,MI-ARY-117,
MI-VIS-207,MI-ARY-117,
MI-ARP-162,MI-SAM-239,
MI-DEV-214,MI-SAM-239,
MI-QUI-101,MI-AAK-159,
MI-KEI-101,MI-AAK-159,
MI-ROH-270,MI-YES-107,
MI-SHR-490,MI-YES-107,
MI-PRA-327,MI-NIS-150,
MI-ISH-151,MI-NIS-150,
MI-TOS-104,MI-SAM-239,
MI-DHR-174,MI-SAM-110,
MI-ASW-109,MI-ANS-198,
MI-PRE-158,MI-SAM-239,
MI-NAC-105,MI-SAM-239,
MI-HAR-105,MI-TAN-101,
MI-SUD-151,MI-CHA-107,
MI-NIM-133,MI-ASM-110,female
MI-SUB-115,MI-ASM-110,female
MI-RAG-128,MI-ASM-110,female
MI-SHI-342,MI-ASM-110,female
MI-PRA-531,MI-ASM-110,female
MI-SAU-279,MI-ASM-110,female
MI-TAR-157,MI-ASM-110,female
MI-RIT-141,MI-ANK-124,female
MI-AAR-131,MI-PRA-270,
MI-TRI-103,MI-PRA-270,
MI-BHA-140,MI-PRA-270,
MI-BAL-106,MI-PRA-270,
MI-UDI-102,MI-ARI-108,
