2018/08/23 11:33:44 [error] 13901#13901: *7353 open() "/var/www/moodi.org/SystemPanel/static/admin/css/responsive.css" failed (2: No such file or directory), client: 103.21.125.83, server: api2.moodi.org, request: "GET /static/admin/css/responsive.css HTTP/1.1", host: "api2.moodi.org", referrer: "https://api2.moodi.org/admin/competitions/competitionsgenre/"
2018/08/23 11:33:48 [error] 13901#13901: *7353 open() "/var/www/moodi.org/SystemPanel/static/admin/css/responsive.css" failed (2: No such file or directory), client: 103.21.125.83, server: api2.moodi.org, request: "GET /static/admin/css/responsive.css HTTP/1.1", host: "api2.moodi.org", referrer: "https://api2.moodi.org/admin/"
2018/08/23 11:33:52 [error] 13901#13901: *7360 open() "/var/www/moodi.org/SystemPanel/static/admin/css/responsive.css" failed (2: No such file or directory), client: 103.21.125.83, server: api2.moodi.org, request: "GET /static/admin/css/responsive.css HTTP/1.1", host: "api2.moodi.org", referrer: "https://api2.moodi.org/admin/competitions/competitionsevent/"
2018/08/23 11:33:57 [error] 13901#13901: *7367 open() "/var/www/moodi.org/SystemPanel/static/admin/css/responsive.css" failed (2: No such file or directory), client: 103.21.125.83, server: api2.moodi.org, request: "GET /static/admin/css/responsive.css HTTP/1.1", host: "api2.moodi.org", referrer: "https://api2.moodi.org/admin/competitions/competitionsevent/add/"
2018/08/23 11:33:57 [error] 13901#13901: *7366 open() "/var/www/moodi.org/SystemPanel/static/admin/css/responsive.css" failed (2: No such file or directory), client: 103.21.125.83, server: api2.moodi.org, request: "GET /static/admin/css/responsive.css HTTP/1.1", host: "api2.moodi.org", referrer: "https://api2.moodi.org/admin/competitions/competitionsevent/add/"
2018/08/23 11:38:34 [error] 13901#13901: *7383 open() "/var/www/moodi.org/SystemPanel/static/admin/css/responsive.css" failed (2: No such file or directory), client: 103.21.125.83, server: api2.moodi.org, request: "GET /static/admin/css/responsive.css HTTP/1.1", host: "api2.moodi.org", referrer: "https://api2.moodi.org/admin/competitions/competitionsevent/add/"
2018/08/23 12:24:53 [error] 13901#13901: *7620 open() "/var/www/moodi.org/SystemPanel/static/admin/css/responsive.css" failed (2: No such file or directory), client: 103.21.125.83, server: api2.moodi.org, request: "GET /static/admin/css/responsive.css HTTP/1.1", host: "api2.moodi.org", referrer: "https://api2.moodi.org/admin/competitions/competitionsevent/"
2018/08/23 12:24:53 [error] 13901#13901: *7621 open() "/var/www/moodi.org/SystemPanel/static/admin/css/responsive.css" failed (2: No such file or directory), client: 103.21.125.83, server: api2.moodi.org, request: "GET /static/admin/css/responsive.css HTTP/1.1", host: "api2.moodi.org", referrer: "https://api2.moodi.org/admin/competitions/competitionsevent/"
2018/08/23 22:50:22 [error] 13901#13901: *13390 open() "/var/www/moodi.org/SystemPanel/static/admin/css/responsive.css" failed (2: No such file or directory), client: 206.189.157.46, server: api2.moodi.org, request: "GET /static/admin/css/responsive.css HTTP/1.1", host: "api2.moodi.org", referrer: "https://api2.moodi.org/admin/login/?next=/admin/"
2018/08/23 22:51:36 [error] 13901#13901: *13405 open() "/var/www/moodi.org/SystemPanel/static/rest_framework/js/jquery-3.3.1.min.js" failed (2: No such file or directory), client: 206.189.157.46, server: api2.moodi.org, request: "GET /static/rest_framework/js/jquery-3.3.1.min.js HTTP/1.1", host: "api2.moodi.org", referrer: "https://api2.moodi.org/team/my_team/876756453"
2018/08/23 22:52:10 [error] 13901#13901: *13416 open() "/var/www/moodi.org/SystemPanel/static/admin/css/responsive.css" failed (2: No such file or directory), client: 206.189.157.46, server: api2.moodi.org, request: "GET /static/admin/css/responsive.css HTTP/1.1", host: "api2.moodi.org", referrer: "https://api2.moodi.org/admin/"
2018/08/23 22:52:22 [error] 13901#13901: *13425 open() "/var/www/moodi.org/SystemPanel/static/admin/css/responsive.css" failed (2: No such file or directory), client: 206.189.157.46, server: api2.moodi.org, request: "GET /static/admin/css/responsive.css HTTP/1.1", host: "api2.moodi.org", referrer: "https://api2.moodi.org/admin/auth/user/"
2018/08/23 22:52:30 [error] 13901#13901: *13425 open() "/var/www/moodi.org/SystemPanel/static/admin/css/responsive.css" failed (2: No such file or directory), client: 206.189.157.46, server: api2.moodi.org, request: "GET /static/admin/css/responsive.css HTTP/1.1", host: "api2.moodi.org", referrer: "https://api2.moodi.org/admin/users/userprofile/"
